entry,structure,prem_cap,need_cap,delta_floor,trades,wins,win_rate,pnl,pnl_exBANKEX,worst
15:05,ATM,0.25,,0.3,10,5,50,107568,19578,-13591
15:05,ATM,0.25,0.3,,8,4,50,23853,23853,-13591
15:05,ATM,0.25,0.3,0.1,8,4,50,23853,23853,-13591
15:05,ATM,0.25,0.3,0.2,8,4,50,23853,23853,-13591
15:05,ATM,0.25,0.3,0.3,8,4,50,23853,23853,-13591
15:05,ATM,0.25,0.35,,10,5,50,107568,19578,-13591
15:05,ATM,0.25,0.35,0.1,10,5,50,107568,19578,-13591
15:05,ATM,0.25,0.35,0.2,10,5,50,107568,19578,-13591
15:05,ATM,0.25,0.35,0.3,10,5,50,107568,19578,-13591
15:05,ATM,0.25,0.4,,10,5,50,107568,19578,-13591
